"","pert_iname","mean","n","median","sd","sRGES"
"9295","BRD-K16413530",0.429412460651122,2,0.429412460651122,0.190459494798681,0.429412460651122
"9296","BRD-K64257929",0.429484296833244,1,0.429484296833244,NA,0.429484296833244
"9297","BRD-K19362120",0.429494839888491,4,0.434860109378076,0.541673527728203,0.429494839888491
"9298","BG-1006",0.429522880068519,6,0.298398091342877,0.460412151774359,0.429522880068519
"9299","BRD-K57638192",0.429732915454505,6,0.465149965916837,0.311674105069191,0.429732915454505
"9300","BRD-K31999759",0.429962209212867,2,0.429962209212867,0.444050526358628,0.429962209212867
"9301","BRD-K88899793",0.430130552355209,6,0.522283422261512,0.421629806871648,0.430130552355209
"9302","BRD-K22002407",0.430140830698785,1,0.430140830698785,NA,0.430140830698785
"9303","BRD-K33305493",0.430163992666936,6,0.535105657805044,0.474306287856887,0.430163992666936
"9304","BRD-K84358317",0.430217832934748,1,0.430217832934748,NA,0.430217832934748
"9305","BRD-A32440707",0.430336375906182,1,0.430336375906182,NA,0.430336375906182
"9306","BRD-K96285502",0.430429298198798,2,0.430429298198798,0.014643213042032,0.430429298198798
"9307","KU-C104493",0.430523046332365,12,0.341038489062283,0.29759941136193,0.430523046332365
"9308","BRD-K86027709",0.43059810798777,10,0.512969823944911,0.353322632459597,0.43059810798777
"9309","NK26-I-41-1",0.430762415442651,2,0.430762415442651,0.647940211731436,0.430762415442651
"9310","ZK-93423",0.430790170500307,17,0.442435898741901,0.394867722732463,0.430790170500307
"9311","BRD-K88622704",0.431058230687156,10,0.448382230216213,0.235972323115316,0.431058230687156
"9312","BRD-K73804157",0.431581159451449,2,0.431581159451449,0.340057146644246,0.431581159451449
"9313","BRD-K00518397",0.431640430937166,2,0.431640430937166,0.0639499769406111,0.431640430937166
"9314","BRD-K81646882",0.431753274153691,3,0.248895406213548,0.450522609318897,0.431753274153691
"9315","BRD-K77480336",0.431794896460345,11,0.449934194583755,0.342521165605251,0.431794896460345
"9316","diacerein",0.43193710410851,2,0.43193710410851,0.0290667947768369,0.43193710410851
"9317","BRD-K31697605",0.432022312015804,2,0.432022312015804,0.0800392161200389,0.432022312015804
"9318","BRD-K81227048",0.432262822709799,1,0.432262822709799,NA,0.432262822709799
"9319","TL-HRAS-61",0.432302898272261,38,0.51518522953455,0.354817013238544,0.432302898272261
"9320","pirfenidone",0.432430129516019,2,0.432430129516019,0.00349456316537302,0.432430129516019
"9321","BRD-K21017376",0.432551781495821,1,0.432551781495821,NA,0.432551781495821
"9322","BRD-K15524596",0.432559495881144,4,0.348714915104047,0.487068509698417,0.432559495881144
"9323","ST-4029573",0.432614301642124,15,0.604294478527607,0.468803467239781,0.432614301642124
"9324","BRD-K69159985",0.432627878384988,4,0.535738557228609,0.297648474331053,0.432627878384988
"9325","BRD-K25257305",0.4326857532379,1,0.4326857532379,NA,0.4326857532379
"9326","BRD-K27865298",0.432893758754692,5,0.258609107645041,0.435006418536241,0.432893758754692
"9327","STK-249718",0.433143811388034,19,0.497650622668281,0.387563949636887,0.433143811388034
"9328","BRD-K70399291",0.433242359237619,3,0.582517698332903,0.324381048056665,0.433242359237619
"9329","BRD-K34596778",0.433489068476053,2,0.433489068476053,0.499722532648366,0.433489068476053
"9330","SA-1460008",0.433626149226499,1,0.433626149226499,NA,0.433626149226499
"9331","BRD-K17086338",0.43377148654635,5,0.461692885790299,0.0783445153382667,0.43377148654635
"9332","BRD-K89020690",0.433839168994734,4,0.309478228299438,0.369571945679052,0.433839168994734
"9333","latanoprost",0.434345254136416,3,0.379856850715746,0.375946500933137,0.434345254136416
"9334","metaxalone",0.434417244438157,4,0.506171413397661,0.318865272456644,0.434417244438157
"9335","BRD-K08325710",0.434681979178166,2,0.434681979178166,0.542380303701542,0.434681979178166
"9336","BRD-K36091499",0.434982260147407,3,0.535616905248807,0.387567490797343,0.434982260147407
"9337","TNP-470",0.435355600999773,3,0.444103612815269,0.408045796259894,0.435355600999773
"9338","SSR-69071",0.435431843109973,15,0.456409995538083,0.311824543063111,0.435431843109973
"9339","KUC105208",0.43549185781184,4,0.462873231796007,0.221428227756598,0.43549185781184
